Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,COL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,18.09229088,16.40752029,,,,17.22545052,,,,,,,,,12.47535992,13.15192986,13.29638958,13.57052994,15.30206013,15.53950024,15.41742039,15.53145027,13.77132034,14.4981699,13.8549099,15.45088005,15.92683029,14.77202988,15.02233982,16.26272964,14.80897999,14.29273033,14.92718983,15.46874046,12.83718967,13.71910954,14.74662971,
Comoros,COM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1350708,,,,15.78971958,,,,,,29.23311996,,,21.41486931,18.49151039,16.07073021,18.89135933,13.35365009,,,,,,
Cabo Verde,CPV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25592041,16.76194,,,19.76622963,,20.8404808,,17.54058075,18.32875061,18.24098969,15.88654995,14.21689987,15.15328026,16.12167549,14.77822971,16.28219032,16.74822998,17.84300995,16.41258049,17.56854057,15.15369987,17.09019089,15.11297989
Costa Rica,CRI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.32237053,,18.36396027,17.65909004,,,,,,16.74369049,19.11466026,,,21.9236908,18.81950951,19.15282059,19.2404995,20.15172005,20.43088913,,20.64333916,21.02189064,20.81096077,23.40822029,22.88088989,23.00962067,23.50156021,22.83090973,23.1095295,23.37343025,23.42320061,30.15142059,26.08666992,24.55101013,21.53948021,
Caribbean small states,CSS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90589046,13.85188007,16.3537693,12.75156975,12.79800034,16.70001984,15.12972021,14.41047525,13.71621513,8.926670074,11.2300396,14.26386023,16.07828999,16.3245697,13.6362052,11.73301983,14.26937008,,17.17304993,19.11938095,17.55283928,16.10293961,15.71351528,16.0235796,17.38148022,17.59129477,14.37622452,14.78959036,14.14472532,14.1778698,13.96738482,11.76790047,8.929389954
Cuba,CUB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47883034,16.51965332,15.80173779,15.26356792,14.9375658,13.56491375,12.6599741,14.22594357,16.66110039,
Curacao,CUW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.13754845,21.85877228,,19.50187302,13.70209217,,,,16.41012764,14.64647961
Cayman Islands,CYM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92417049,14.95815754,,
Cyprus,CYP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.90412045,14.26830959,14.3215704,14.91421032,16.51523018,15.83298016,15.83936024,16.17962074,16.72047997,17.59074974,17.20125008,15.64949036,15.49765015,14.00662994,15.36213017,15.92778015,16.02495956,16.40278053,15.67893028,11.80474281,13.68255043,12.98999977,
Czechia,CZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.141750336,,8.548130035,8.908399582,8.912139893,8.618889809,8.864620209,8.382209778,9.432900429,9.124210358,10.11927986,9.513560295,9.119939804,9.34692955,9.244799614,9.822460175,9.447569847,9.488269806,9.303239822,13.71630955,13.97130013,9.764360428,10.50891972,11.06466007,10.77000046,
